prot,error
boltz_results_AcrR_4,No confidence files found
boltz_results_AcrR_36,No confidence files found
boltz_results_AcrR_56,No confidence files found
boltz_results_AcrR_51,No confidence files found
boltz_results_AcrR_1,No confidence files found
boltz_results_AcrR_50,No confidence files found
boltz_results_AcrR_37,No confidence files found
boltz_results_AcrR_20,No confidence files found
boltz_results_AcrR_55,No confidence files found
boltz_results_AcrR_22,No confidence files found
boltz_results_AcrR_8,No confidence files found
boltz_results_AcrR_24,No confidence files found
boltz_results_AcrR_5,No confidence files found
boltz_results_AcrR_52,No confidence files found
boltz_results_AcrR_6,No confidence files found
boltz_results_AcrR_40,No confidence files found
boltz_results_AcrR_2,No confidence files found
boltz_results_AcrR_3,No confidence files found
boltz_results_AcrR_34,No confidence files found
boltz_results_AcrR_7,No confidence files found
boltz_results_AcrR_21,No confidence files found
boltz_results_AcrR_33,No confidence files found
boltz_results_AcrR_35,No confidence files found
boltz_results_AcrR_49,No confidence files found
boltz_results_AcrR_39,No confidence files found
boltz_results_AcrR_54,No confidence files found
boltz_results_AcrR_53,No confidence files found
boltz_results_AcrR_19,No confidence files found
boltz_results_AcrR_18,No confidence files found
boltz_results_AcrR_38,No confidence files found
boltz_results_AcrR_23,No confidence files found
boltz_results_AcrR_17,No confidence files found
